"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 04- 19","4,459.25","4,399.00","4,467.00","4,371.75","1.47M","1.65%"
"2022- 04- 18","4,386.75","4,390.00","4,406.25","4,355.50","1.15M","-0.02%"
"2022- 04- 14","4,387.50","4,438.50","4,455.75","4,385.00","1.40M","-1.23%"
"2022- 04- 13","4,442.25","4,396.75","4,449.50","4,384.00","1.25M","1.12%"
"2022- 04- 12","4,393.00","4,411.00","4,466.75","4,375.50","1.74M","-0.36%"
"2022- 04- 11","4,409.00","4,488.75","4,491.25","4,403.50","1.43M","-1.66%"
"2022- 04- 08","4,483.50","4,494.75","4,519.75","4,468.75","1.36M","-0.28%"
"2022- 04- 07","4,496.25","4,471.25","4,517.25","4,444.50","1.45M","0.46%"
"2022- 04- 06","4,475.75","4,526.25","4,528.75","4,444.50","1.80M","-0.98%"
"2022- 04- 05","4,520.25","4,576.25","4,588.75","4,507.75","1.30M","-1.26%"
"2022- 04- 04","4,577.75","4,538.25","4,580.00","4,527.75","1.03M","0.86%"
"2022- 04- 02","4,538.50","4,538.50","4,538.50","4,538.50","","-0.02%"
"2022- 04- 01","4,539.25","4,541.00","4,555.50","4,501.25","1.44M","0.19%"
"2022- 03- 31","4,530.75","4,599.00","4,614.25","4,526.25","1.65M","-1.42%"
"2022- 03- 30","4,596.00","4,621.25","4,627.50","4,574.75","1.21M","-0.64%"
"2022- 03- 29","4,625.50","4,570.25","4,631.00","4,565.25","1.35M","1.26%"
"2022- 03- 28","4,568.00","4,535.25","4,572.25","4,509.75","1.18M","0.69%"
"2022- 03- 25","4,536.50","4,516.25","4,539.00","4,493.25","1.25M","0.53%"
"2022- 03- 24","4,512.50","4,449.25","4,517.50","4,445.75","1.22M","1.46%"
"2022- 03- 23","4,447.50","4,504.00","4,514.00","4,444.75","1.34M","-1.28%"
"2022- 03- 22","4,505.00","4,456.75","4,514.75","4,433.00","1.21M","1.18%"
"2022- 03- 21","4,452.25","4,460.00","4,473.00","4,415.00","1.38M","0.00%"
"2022- 03- 20","4,452.25","4,465.00","4,465.00","4,451.50","17.75K","0.97%"
"2022- 03- 18","4,409.35","4,393.00","4,402.75","4,373.75","33.54K","-0.02%"
"2022- 03- 17","4,410.25","4,370.50","4,415.25","4,329.00","434.64K","1.20%"
"2022- 03- 16","4,358.00","4,257.50","4,376.00","4,246.25","722.60K","2.25%"
"2022- 03- 15","4,262.00","4,180.25","4,271.50","4,138.00","1.09M","2.16%"
"2022- 03- 14","4,172.00","4,216.00","4,254.50","4,160.75","1.44M","-0.70%"
"2022- 03- 11","4,201.50","4,258.50","4,335.50","4,198.00","1.65M","-1.31%"
"2022- 03- 10","4,257.25","4,279.00","4,282.25","4,207.00","1.75M","-0.42%"
"2022- 03- 09","4,275.25","4,153.00","4,298.25","4,152.00","1.66M","2.55%"
"2022- 03- 08","4,168.75","4,186.50","4,275.00","4,138.75","2.33M","-0.71%"
"2022- 03- 07","4,198.50","4,308.75","4,325.25","4,185.25","1.90M","-2.98%"
"2022- 03- 04","4,327.25","4,366.50","4,374.50","4,281.25","1.84M","-0.73%"
"2022- 03- 03","4,359.25","4,373.75","4,418.75","4,341.00","1.55M","-0.51%"
"2022- 03- 02","4,381.75","4,308.75","4,399.25","4,278.25","1.71M","1.81%"
"2022- 03- 01","4,303.75","4,367.50","4,399.00","4,275.00","1.87M","-1.47%"
"2022- 02- 28","4,368.00","4,299.50","4,385.50","4,251.50","2.19M","-0.27%"
"2022- 02- 25","4,380.00","4,266.75","4,384.25","4,227.50","1.95M","2.24%"
"2022- 02- 24","4,284.00","4,215.50","4,290.00","4,101.75","2.95M","1.47%"
"2022- 02- 23","4,222.00","4,310.75","4,345.50","4,212.50","1.91M","-1.81%"
"2022- 02- 22","4,300.00","4,324.25","4,391.25","4,250.00","2.59M","0.66%"
"2022- 02- 21","4,272.00","4,321.75","4,390.75","4,250.25","479.36K","-1.17%"
"2022- 02- 20","4,322.75","4,326.00","4,332.50","4,317.00","21.12K","-0.48%"
"2022- 02- 18","4,343.50","4,374.75","4,411.50","4,321.00","1.82M","-0.71%"
"2022- 02- 17","4,374.50","4,464.25","4,474.75","4,367.25","1.63M","-2.14%"
"2022- 02- 16","4,470.00","4,458.75","4,484.50","4,422.75","1.43M","0.12%"
"2022- 02- 15","4,464.50","4,393.50","4,468.00","4,381.75","1.52M","1.60%"
"2022- 02- 14","4,394.00","4,411.75","4,428.00","4,354.00","2.10M","-0.35%"
"2022- 02- 11","4,409.50","4,494.50","4,520.50","4,393.25","2.48M","-1.96%"
"2022- 02- 10","4,497.50","4,582.25","4,583.75","4,476.00","2.40M","-1.75%"
"2022- 02- 09","4,577.75","4,519.00","4,585.00","4,517.25","1.38M","1.45%"
"2022- 02- 08","4,512.50","4,484.00","4,523.75","4,456.25","1.46M","0.82%"
"2022- 02- 07","4,475.75","4,497.00","4,514.50","4,462.75","1.50M","-0.37%"
"2022- 02- 04","4,492.50","4,518.00","4,532.50","4,438.50","1.96M","0.53%"
"2022- 02- 03","4,469.00","4,545.75","4,548.25","4,462.00","1.80M","-2.36%"
"2022- 02- 02","4,577.25","4,552.00","4,586.00","4,535.25","1.62M","0.93%"
"2022- 02- 01","4,535.00","4,493.25","4,554.75","4,474.00","1.62M","0.68%"
"2022- 01- 31","4,504.25","4,423.50","4,507.75","4,395.50","1.85M","1.83%"
"2022- 01- 28","4,423.25","4,348.00","4,426.00","4,266.25","2.25M","2.44%"
"2022- 01- 27","4,317.75","4,345.25","4,422.00","4,263.25","2.30M","-0.55%"
"2022- 01- 26","4,341.50","4,308.75","4,446.25","4,294.25","2.42M","-0.17%"
"2022- 01- 25","4,349.00","4,402.75","4,406.75","4,276.50","2.48M","-1.24%"
"2022- 01- 24","4,403.75","4,389.00","4,427.50","4,212.75","3.85M","0.31%"
"2022- 01- 21","4,390.00","4,454.25","4,487.00","4,381.25","3.01M","-1.89%"
"2022- 01- 20","4,474.75","4,526.00","4,594.25","4,437.75","2.04M","-1.09%"
"2022- 01- 19","4,524.25","4,577.75","4,603.00","4,517.25","2.00M","-1.03%"
"2022- 01- 18","4,571.25","4,666.00","4,671.75","4,560.00","2.27M","-1.84%"
"2022- 01- 17","4,657.00","4,660.75","4,666.00","4,648.75","171.78K","0.01%"
"2022- 01- 16","4,656.75","4,671.25","4,671.25","4,655.00","17.47K","0.04%"
"2022- 01- 14","4,654.75","4,655.00","4,667.00","4,606.00","2.01M","0.06%"
"2022- 01- 13","4,652.00","4,719.25","4,736.25","4,642.50","1.82M","-1.36%"
"2022- 01- 12","4,716.25","4,704.00","4,739.50","4,695.00","1.58M","0.24%"
"2022- 01- 11","4,705.00","4,663.50","4,707.50","4,627.25","1.73M","0.92%"
"2022- 01- 10","4,662.25","4,671.25","4,681.75","4,572.75","2.23M","-0.12%"
"2022- 01- 07","4,667.75","4,695.00","4,705.75","4,653.75","1.62M","-0.42%"
"2022- 01- 06","4,687.50","4,692.00","4,715.75","4,662.00","1.86M","-0.11%"
"2022- 01- 05","4,692.50","4,783.50","4,788.25","4,689.50","1.86M","-1.92%"
"2022- 01- 04","4,784.25","4,785.25","4,808.25","4,764.50","1.39M","-0.04%"
"2022- 01- 03","4,786.00","4,771.00","4,791.25","4,747.50","1.32M","0.58%"
"2021- 12- 31","4,758.50","4,773.75","4,778.50","4,750.50","954.08K","-0.29%"
"2021- 12- 30","4,772.25","4,784.75","4,799.75","4,767.25","753.94K","-0.26%"
"2021- 12- 29","4,784.50","4,781.00","4,796.00","4,770.00","876.03K","0.13%"
"2021- 12- 28","4,778.50","4,780.50","4,798.00","4,770.50","954.52K","-0.08%"
"2021- 12- 27","4,782.25","4,717.00","4,784.25","4,713.25","898.70K","1.41%"
"2021- 12- 23","4,715.75","4,689.00","4,731.25","4,684.25","978.02K","0.63%"
"2021- 12- 22","4,686.00","4,641.75","4,690.50","4,622.25","1.10M","0.98%"
"2021- 12- 21","4,640.75","4,567.75","4,643.00","4,565.75","1.49M","1.80%"
"2021- 12- 20","4,558.50","4,612.00","4,621.50","4,520.25","2.10M","-1.68%"
"2021- 12- 17","4,636.46","4,674.25","4,677.75","4,629.50","34.79K","-0.69%"
"2021- 12- 16","4,668.75","4,711.50","4,752.50","4,651.25","435.99K","-0.87%"
"2021- 12- 15","4,709.50","4,637.75","4,715.00","4,611.25","673.19K","1.56%"
