"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2008- 10- 27","834.75","864.25","894.00","825.00","2.93M","-3.61%"
"2008- 10- 24","866.00","914.50","917.25","840.25","3.32M","-5.38%"
"2008- 10- 23","915.25","904.50","923.25","856.00","4.06M","1.38%"
"2008- 10- 22","902.75","958.50","969.25","872.50","3.29M","-5.89%"
"2008- 10- 21","959.25","992.75","992.75","951.00","2.64M","-3.15%"
"2008- 10- 20","990.50","937.50","992.75","925.50","2.44M","6.11%"
"2008- 10- 17","933.50","941.00","987.75","908.00","3.82M","-0.80%"
"2008- 10- 16","941.00","903.50","950.00","865.25","5.07M","4.18%"
"2008- 10- 15","903.25","1,004.00","1,008.50","897.25","3.83M","-9.88%"
"2008- 10- 14","1,002.25","1,012.00","1,067.00","974.25","4.09M","-1.43%"
"2008- 10- 13","1,016.75","909.50","1,017.50","909.25","3.36M","14.11%"
"2008- 10- 10","891.00","913.50","943.00","837.00","5.90M","-2.36%"
"2008- 10- 09","912.50","981.25","1,010.00","905.50","4.17M","-6.98%"
"2008- 10- 08","981.00","1,004.00","1,045.00","963.00","5.31M","-2.46%"
"2008- 10- 07","1,005.75","1,054.00","1,078.00","999.50","4.30M","-4.51%"
"2008- 10- 06","1,053.25","1,103.75","1,104.00","1,009.00","4.48M","-4.96%"
"2008- 10- 03","1,108.25","1,124.75","1,161.00","1,102.50","3.19M","-1.45%"
"2008- 10- 02","1,124.50","1,168.25","1,174.00","1,115.25","2.74M","-3.77%"
"2008- 10- 01","1,168.50","1,167.50","1,173.00","1,143.75","2.50M","-0.04%"
"2008- 09- 30","1,169.00","1,118.25","1,175.75","1,112.00","2.93M","4.49%"
"2008- 09- 29","1,118.75","1,220.00","1,221.25","1,113.50","3.95M","-7.88%"
"2008- 09- 26","1,214.50","1,212.25","1,221.25","1,184.75","2.23M","0.08%"
"2008- 09- 25","1,213.50","1,192.25","1,224.75","1,186.00","2.74M","1.72%"
"2008- 09- 24","1,193.00","1,188.00","1,210.25","1,180.25","2.40M","0.51%"
"2008- 09- 23","1,187.00","1,215.75","1,222.75","1,185.50","3.10M","-2.20%"
"2008- 09- 22","1,213.75","1,244.00","1,250.25","1,205.25","2.76M","-5.12%"
"2008- 09- 19","1,279.31","1,201.00","1,263.00","1,197.25","134.02K","6.76%"
"2008- 09- 18","1,198.25","1,163.75","1,213.25","1,133.00","913.55K","3.23%"
"2008- 09- 17","1,160.75","1,215.50","1,227.75","1,154.50","880.53K","-4.41%"
"2008- 09- 16","1,214.25","1,196.75","1,219.00","1,161.75","1.16M","1.61%"
"2008- 09- 15","1,195.00","1,230.25","1,237.75","1,194.50","1.20M","-4.95%"
"2008- 09- 12","1,257.25","1,251.00","1,257.75","1,233.50","1.09M","0.50%"
"2008- 09- 11","1,251.00","1,232.25","1,252.75","1,211.25","2.06M","1.44%"
"2008- 09- 10","1,233.25","1,228.00","1,244.75","1,220.25","3.01M","0.55%"
"2008- 09- 09","1,226.50","1,267.00","1,275.00","1,223.50","3.35M","-3.20%"
"2008- 09- 08","1,267.00","1,263.50","1,282.00","1,246.75","3.23M","2.10%"
"2008- 09- 05","1,241.00","1,236.50","1,245.25","1,216.50","2.96M","0.36%"
"2008- 09- 04","1,236.50","1,275.50","1,277.00","1,235.00","2.84M","-3.04%"
"2008- 09- 03","1,275.25","1,276.25","1,281.00","1,265.25","2.16M","-0.10%"
"2008- 09- 02","1,276.50","1,282.00","1,303.50","1,271.50","2.29M","-0.47%"
"2008- 08- 29","1,282.50","1,297.00","1,298.00","1,281.50","1.35M","-1.19%"
"2008- 08- 28","1,298.00","1,281.75","1,300.00","1,275.50","1.51M","1.25%"
"2008- 08- 27","1,282.00","1,271.50","1,285.25","1,265.50","1.44M","0.81%"
"2008- 08- 26","1,271.75","1,266.75","1,275.75","1,262.50","1.46M","0.41%"
"2008- 08- 25","1,266.50","1,291.00","1,292.25","1,264.25","1.64M","-1.99%"
"2008- 08- 22","1,292.25","1,275.25","1,294.00","1,271.50","1.38M","1.31%"
"2008- 08- 21","1,275.50","1,273.75","1,281.75","1,263.25","1.60M","0.14%"
"2008- 08- 20","1,273.75","1,268.00","1,276.75","1,260.50","1.77M","0.41%"
"2008- 08- 19","1,268.50","1,282.00","1,283.00","1,262.75","1.72M","-1.05%"
"2008- 08- 18","1,282.00","1,299.50","1,306.00","1,274.00","1.70M","-1.37%"
"2008- 08- 15","1,299.75","1,293.50","1,302.50","1,290.50","1.47M","0.46%"
"2008- 08- 14","1,293.75","1,284.75","1,300.75","1,275.25","1.88M","0.72%"
"2008- 08- 13","1,284.50","1,291.25","1,294.50","1,274.50","2.18M","-0.54%"
"2008- 08- 12","1,291.50","1,303.75","1,307.75","1,285.25","1.74M","-1.03%"
"2008- 08- 11","1,305.00","1,291.50","1,313.50","1,288.00","2.10M","0.99%"
"2008- 08- 08","1,292.25","1,268.00","1,298.00","1,262.00","2.18M","1.91%"
"2008- 08- 07","1,268.00","1,288.25","1,289.00","1,263.50","1.99M","-1.53%"
"2008- 08- 06","1,287.75","1,282.75","1,291.75","1,275.25","1.73M","0.37%"
"2008- 08- 05","1,283.00","1,249.25","1,284.50","1,247.25","2.00M","2.74%"
"2008- 08- 04","1,248.75","1,261.25","1,263.25","1,246.25","1.52M","-0.91%"
"2008- 08- 01","1,260.25","1,266.50","1,275.00","1,253.00","1.86M","-0.53%"
"2008- 07- 31","1,267.00","1,284.50","1,290.00","1,265.00","2.33M","-1.38%"
"2008- 07- 30","1,284.75","1,261.50","1,285.00","1,259.75","2.35M","1.82%"
"2008- 07- 29","1,261.75","1,234.75","1,263.25","1,231.50","2.10M","2.17%"
"2008- 07- 28","1,235.00","1,255.25","1,260.00","1,233.00","1.62M","-1.50%"
"2008- 07- 25","1,253.75","1,253.25","1,262.75","1,249.25","1.61M","0.00%"
"2008- 07- 24","1,253.75","1,281.25","1,285.00","1,251.00","1.99M","-2.24%"
"2008- 07- 23","1,282.50","1,275.00","1,291.25","1,272.75","2.13M","0.65%"
"2008- 07- 22","1,274.25","1,258.00","1,278.00","1,247.25","2.10M","1.01%"
"2008- 07- 21","1,261.50","1,259.25","1,269.00","1,255.00","1.54M","0.08%"
"2008- 07- 18","1,260.50","1,250.25","1,263.00","1,241.00","1.92M","0.56%"
"2008- 07- 17","1,253.50","1,240.00","1,263.00","1,238.00","2.89M","1.01%"
"2008- 07- 16","1,241.00","1,212.75","1,246.25","1,202.50","2.89M","2.43%"
"2008- 07- 15","1,211.50","1,229.00","1,235.75","1,200.75","3.66M","-1.36%"
"2008- 07- 14","1,228.25","1,240.00","1,260.50","1,224.75","2.66M","-0.93%"
"2008- 07- 11","1,239.75","1,254.75","1,261.75","1,225.50","3.25M","-1.18%"
"2008- 07- 10","1,254.50","1,249.00","1,259.25","1,237.00","3.03M","0.52%"
"2008- 07- 09","1,248.00","1,274.50","1,278.75","1,244.75","2.41M","-2.02%"
"2008- 07- 08","1,273.75","1,252.00","1,275.75","1,236.50","2.75M","1.76%"
"2008- 07- 07","1,251.75","1,258.50","1,275.00","1,240.75","2.58M","-1.05%"
"2008- 07- 04","1,265.00","1,265.50","1,269.25","1,256.50","","0.00%"
"2008- 07- 03","1,265.00","1,263.50","1,273.75","1,251.75","1.85M","0.18%"
"2008- 07- 02","1,262.75","1,286.25","1,294.75","1,261.00","2.43M","-1.83%"
"2008- 07- 01","1,286.25","1,283.00","1,286.75","1,261.00","3.20M","0.41%"
"2008- 06- 30","1,281.00","1,281.75","1,292.00","1,275.25","2.17M","0.08%"
"2008- 06- 27","1,280.00","1,285.00","1,291.75","1,272.75","2.34M","-0.35%"
"2008- 06- 26","1,284.50","1,322.25","1,322.25","1,283.00","2.64M","-2.87%"
"2008- 06- 25","1,322.50","1,315.00","1,337.75","1,314.50","2.07M","0.53%"
"2008- 06- 24","1,315.50","1,317.75","1,328.00","1,305.25","2.12M","-0.21%"
"2008- 06- 23","1,318.25","1,320.75","1,327.75","1,316.25","1.45M","-1.57%"
"2008- 06- 20","1,339.28","1,341.00","1,341.50","1,329.00","32.62K","-0.05%"
"2008- 06- 19","1,340.00","1,336.75","1,348.00","1,330.50","357.09K","0.22%"
"2008- 06- 18","1,337.00","1,350.75","1,353.25","1,332.75","437.32K","-1.04%"
"2008- 06- 17","1,351.00","1,357.75","1,370.25","1,349.00","523.29K","-0.50%"
"2008- 06- 16","1,357.75","1,357.00","1,365.00","1,349.25","552.32K","0.02%"
"2008- 06- 13","1,357.50","1,340.75","1,361.50","1,337.00","746.59K","1.23%"
"2008- 06- 12","1,341.00","1,335.25","1,353.50","1,331.00","1.42M","0.39%"
"2008- 06- 11","1,335.75","1,356.25","1,363.50","1,335.00","2.60M","-1.51%"
"2008- 06- 10","1,356.25","1,362.00","1,367.25","1,347.25","2.21M","-0.53%"
"2008- 06- 09","1,363.50","1,358.75","1,371.50","1,350.50","2.14M","0.29%"
"2008- 06- 06","1,359.50","1,404.50","1,411.00","1,358.50","2.77M","-3.26%"
"2008- 06- 05","1,405.25","1,376.75","1,405.75","1,375.50","1.99M","2.01%"
"2008- 06- 04","1,377.50","1,378.25","1,388.50","1,371.00","2.09M","-0.07%"
"2008- 06- 03","1,378.50","1,385.75","1,393.50","1,369.25","2.16M","-0.51%"
